# sector size     filename
000018C5 0000A900 \BG\ERFFFD.IPD
000018DB 0000CE00 \BG\ERFFFE.IPD
000018F5 00003100 \BG\ERFFFF.IPD
000018FC 00008100 \BG\ERLOOP1.TIM
0000190D 00008100 \BG\ERP21.TIM
0000191E 00008100 \BG\ERP22.TIM
0000192F 00008100 \BG\ERU_COP2.TIM
00001940 00008300 \BG\ER_AQRM1.TIM
00001951 00008300 \BG\ER_AQRM2.TIM
00001962 00004100 \BG\ER_AQRMH.TIM
0000196B 00008300 \BG\ER_AQSH1.TIM
0000197C 00008300 \BG\ER_AQSH2.TIM
0000198D 00004200 \BG\ER_AQSHH.TIM
00001996 00008300 \BG\ER_BILL1.TIM
000019A7 00008200 \BG\ER_BILL2.TIM
000019B8 00004300 \BG\ER_BILLH.TIM
000019C1 00008100 \BG\ER_BUS1F.TIM
000019D2 00008100 \BG\ER_BUS2F.TIM
000019E3 00008100 \BG\ER_BUS3F.TIM
000019F4 00008100 \BG\ER_BUS4F.TIM
00001A05 00008300 \BG\ER_CHRC1.TIM
00001A16 00008300 \BG\ER_CHRC2.TIM
00001A27 00004200 \BG\ER_CHRCH.TIM
00001A30 00008300 \BG\ER_COP1.TIM
00001A41 00008300 \BG\ER_COP11.TIM
00001A52 00008200 \BG\ER_COP12.TIM
00001A63 00004100 \BG\ER_COP1H.TIM
00001A6C 00008200 \BG\ER_COP2.TIM
00001A7D 00008100 \BG\ER_COP3.TIM
00001A8E 00008100 \BG\ER_COP4.TIM
00001A9F 00008200 \BG\ER_COP5.TIM
00001AB0 00008200 \BG\ER_COP6.TIM
00001AC1 00008100 \BG\ER_COP7.TIM
00001AD2 00008100 \BG\ER_COP8.TIM
00001AE3 00008300 \BG\ER_INDI1.TIM
00001AF4 00008200 \BG\ER_INDI2.TIM
00001B05 00004300 \BG\ER_INDIH.TIM
00001B0E 00008100 \BG\ER_LAST1.TIM
00001B1F 00008200 \BG\ER_LAST2.TIM
00001B30 00004100 \BG\ER_LASTH.TIM
00001B39 00004300 \BG\ER_MTERH.TIM
00001B42 00008200 \BG\ER_MTGR1.TIM
00001B53 00008300 \BG\ER_MTGR2.TIM
